Date,Price,Open,High,Low,Vol.,Change %
06/02/1998,891.7,899.78,899.78,889.49,,-0.89%
06/01/1998,899.69,910.36,910.36,899.69,,-1.16%
05/29/1998,910.27,909.12,910.27,902.68,,0.14%
05/28/1998,909.03,914.64,914.64,906.75,,-0.58%
05/27/1998,914.32,922.18,922.18,905.96,,-0.84%
05/26/1998,922.08,937.93,937.93,922.08,,-1.68%
05/25/1998,937.84,940.41,940.41,932.48,,-0.25%
05/22/1998,940.2,933.21,940.2,933.21,,0.80%
05/20/1998,932.77,923.08,932.77,923.08,,1.10%
05/19/1998,922.65,925.67,925.67,918.53,,-0.30%
05/18/1998,925.46,935.01,935.01,925.13,,-0.97%
05/15/1998,934.57,943.56,943.56,934.15,,-0.94%
05/14/1998,943.46,948.06,948.06,940.96,,-0.46%
05/13/1998,947.85,965.28,965.28,946.78,,-1.78%
05/12/1998,965.07,972.15,972.15,961.55,,-0.72%
05/11/1998,972.05,987.79,987.79,972.05,,-1.46%
05/08/1998,986.45,994.99,994.99,986.45,,-0.56%
05/07/1998,991.96,996.23,996.23,987.83,,-0.36%
05/06/1998,995.57,995.44,997.41,990.84,,0.02%
05/05/1998,995.34,998.48,998.48,990.17,,-0.30%
05/04/1998,998.38,996.91,998.88,992.74,,0.31%
04/30/1998,995.34,987.68,995.34,987.68,,0.89%
04/29/1998,986.56,981.04,986.56,978.58,,0.57%
04/28/1998,980.94,972.26,980.94,972.26,,0.90%
04/27/1998,972.16,983.74,983.74,971.81,,-1.12%
04/24/1998,983.19,992.41,992.41,983.19,,-0.76%
04/23/1998,990.73,996.79,996.79,989.28,,-0.59%
04/22/1998,996.58,991.62,996.58,991.62,,0.51%
04/21/1998,991.51,992.52,992.52,984.1,,-0.09%
04/20/1998,992.41,1011.2,1011.2,992.41,,-1.82%
04/17/1998,1010.76,1019.08,1019.08,1010.48,,-0.81%
04/16/1998,1018.97,1032.36,1032.36,1018.97,,-1.29%
04/15/1998,1032.25,1039.56,1039.56,1032.25,,-0.69%
04/14/1998,1039.45,1042.6,1042.6,1035.25,,-0.30%
04/13/1998,1042.6,1058.47,1058.47,1042.6,,-1.50%
04/09/1998,1058.47,1053.97,1058.47,1049.76,,0.45%
04/08/1998,1053.74,1060.16,1060.16,1051.88,,-0.60%
04/07/1998,1060.05,1074,1074,1060.05,,-1.28%
04/06/1998,1073.78,1074.22,1074.22,1066.5,,0.30%
04/03/1998,1070.62,1072.54,1072.54,1069.62,,-0.17%
04/02/1998,1072.42,1065.45,1072.42,1063.49,,0.66%
04/01/1998,1065.34,1062.74,1065.34,1058.02,,0.26%
03/31/1998,1062.63,1056.44,1062.63,1053.78,,0.60%
03/30/1998,1056.33,1049.24,1056.33,1047.64,,0.25%
03/27/1998,1053.74,1058.69,1063.15,1053.74,,-0.33%
03/26/1998,1057.23,1042.15,1057.23,1039.25,,0.85%
03/25/1998,1048.34,1057.68,1057.68,1048.34,,-0.85%
03/24/1998,1057.35,1060.16,1060.16,1053.33,,-0.25%
03/23/1998,1060.05,1070.85,1070.85,1060.05,,-0.79%
03/20/1998,1068.49,1040.12,1068.49,1040.12,,2.75%
03/19/1998,1039.9,1042.15,1042.84,1021.88,,-0.21%
03/18/1998,1042.04,1060.83,1060.83,1039.7,,-1.76%
03/17/1998,1060.72,1067.13,1067.13,1060.72,,-0.56%
03/16/1998,1066.69,1061.51,1066.69,1060.14,,0.50%
03/13/1998,1061.4,1046.88,1061.4,1046.88,,1.39%
03/12/1998,1046.88,1050.14,1050.14,1043.62,,-0.30%
03/11/1998,1050.03,1043.61,1050.03,1043.61,,0.63%
03/10/1998,1043.5,1034.5,1043.5,1030.68,,0.88%
03/09/1998,1034.39,1039.56,1039.56,1034.39,,-0.48%
03/06/1998,1039.34,1017.61,1039.34,1017.61,,2.15%
03/05/1998,1017.51,1016.6,1017.51,1007,,-0.24%
03/04/1998,1019.99,1021.33,1021.33,1012.3,,-0.12%
03/03/1998,1021.22,1018.4,1021.22,1018.4,,0.29%
03/02/1998,1018.3,1001.52,1018.3,1001.36,,1.69%
02/27/1998,1001.42,989.82,1001.42,989.82,,1.18%
02/26/1998,989.71,965.85,989.71,965.85,,2.48%
02/25/1998,965.74,966.86,966.86,960.71,,-0.11%
02/24/1998,966.76,980.81,980.81,966.76,,-1.42%
02/23/1998,980.71,976.54,980.71,976.54,,0.61%
02/20/1998,974.75,972.94,974.75,970.08,,0.20%
02/19/1998,972.83,964.27,972.83,964.27,,0.90%
02/18/1998,964.17,943.45,964.17,943.45,,2.22%
02/17/1998,943.24,918.58,943.24,918.58,,2.77%
02/16/1998,917.81,915.09,917.81,911.83,,0.31%
02/13/1998,914.99,901.7,914.99,901.7,,1.49%
02/12/1998,901.6,900.57,901.6,895.31,,0.12%
02/11/1998,900.48,902.37,902.37,896.1,,-0.09%
02/10/1998,901.26,903.72,903.72,897.77,,-0.26%
02/09/1998,903.63,909.01,909.01,902.8,,-0.59%
02/06/1998,909.03,908.45,909.03,903.91,,0.07%
02/05/1998,908.35,919.7,926,908.35,,-1.22%
02/04/1998,919.61,932.19,932.19,910.58,,-1.34%
02/03/1998,932.1,939.51,939.51,927.04,,-0.75%
02/02/1998,939.19,911.94,939.19,911.94,,3.52%
01/30/1998,907.23,881.1,907.23,881.1,,2.98%
01/29/1998,881.01,876.71,881.01,871.68,,0.50%
01/28/1998,876.62,871.31,876.62,869.42,,0.62%
01/27/1998,871.22,886.61,1006.46,871.22,,-1.73%
01/26/1998,886.52,892.58,892.58,886.05,,-0.39%
01/23/1998,890.01,893.03,893.03,888.4,,-0.33%
01/22/1998,892.94,905.07,905.07,892.76,,-1.33%
01/21/1998,904.98,915.99,915.99,904.49,,-1.16%
01/20/1998,915.56,918.69,918.69,915.56,,-0.29%
01/19/1998,918.26,905.63,918.26,905.63,,1.48%
01/16/1998,904.87,885.49,904.87,885.49,,2.16%
01/15/1998,885.74,895.73,895.73,885.32,,-1.11%
01/14/1998,895.64,906.2,907.03,895.64,,-1.01%
01/13/1998,904.75,915.54,927.12,903.48,,-1.17%
01/12/1998,915.44,914.3,915.44,875.06,,-0.23%
01/09/1998,917.58,957.18,957.18,910.36,,-4.13%
01/08/1998,957.08,988.02,988.02,957.08,,-3.12%
01/07/1998,987.91,1012.89,1012.89,987.91,,-2.42%
01/06/1998,1012.45,1025.27,1025.27,1012.45,,-1.24%
01/05/1998,1025.16,1025.83,1025.83,1017.29,,-0.05%
01/02/1998,1025.72,1017.61,1025.72,1017.17,,0.89%
12/31/1997,1016.72,1019.42,1019.42,1014.94,,-0.25%
12/30/1997,1019.31,993.53,1019.31,993.53,,2.72%
12/29/1997,992.3,979.8,992.3,979.8,,1.30%
12/26/1997,979.59,982.05,982.05,974.21,,-0.24%
12/24/1997,981.95,979.35,981.95,973.76,,0.28%
12/23/1997,979.25,984.75,984.75,976.44,,-0.46%
12/22/1997,983.75,987.9,987.9,980.57,,-0.41%
12/19/1997,987.8,1002.76,1002.76,987.8,,-1.56%
12/18/1997,1003.44,1013.56,1013.56,1003.44,,-0.99%
12/17/1997,1013.46,1008.95,1013.46,1008.95,,0.68%
12/16/1997,1006.59,1009.51,1009.51,1003.34,,-0.28%
12/15/1997,1009.41,1017.28,1017.28,1008.8,,-0.76%
12/12/1997,1017.17,1012.78,1017.17,1010.15,,-0.35%
12/10/1997,1020.77,1035.51,1035.51,1020.77,,-1.47%
12/09/1997,1035.96,1046.99,1046.99,1035.96,,-1.09%
12/05/1997,1047.33,1048.9,1048.9,1041.61,,-0.14%
12/04/1997,1048.79,1041.47,1048.79,1041.47,,0.71%
12/03/1997,1041.37,1046.76,1046.76,1038.38,,-0.50%
12/02/1997,1046.65,1043.39,1046.65,1043.39,,0.37%
12/01/1997,1042.83,1038.21,1042.83,1035.92,,0.52%
11/28/1997,1037.43,1039,1039,1033.13,,-0.10%
11/27/1997,1038.44,1038.89,1038.89,1026.62,,-0.03%
11/26/1997,1038.78,1031.57,1038.78,1031.24,,0.71%
11/25/1997,1031.46,1031.68,1031.8,1024.43,,-0.01%
11/24/1997,1031.58,1036.52,1036.52,1027.89,,-0.35%
11/21/1997,1035.18,1025.83,1035.18,1025.83,,0.84%
11/20/1997,1026.51,1019.75,1026.51,1018.85,,0.67%
11/19/1997,1019.65,1018.52,1019.65,1012.52,,0.09%
11/18/1997,1018.75,1025.61,1025.61,1016.95,,-0.70%
11/17/1997,1025.95,1015.93,1025.95,1015.93,,1.05%
11/14/1997,1015.26,1012.33,1015.26,1008.69,,0.30%
11/13/1997,1012.22,1018.97,1023.42,1008.12,,-0.65%
11/12/1997,1018.86,1034.38,1034.38,1018.86,,-1.49%
11/11/1997,1034.28,1037.99,1037.99,1033.47,,-0.30%
11/10/1997,1037.43,1034.72,1042.17,1034.72,,0.37%
